"DATA/10006857.CI.ISA.BHZ.sac.d.T006_T030
","SYN/ISA.CI.BHZ.semd.sac.m16.T006_T030
",36.254,105.754
"DATA/10006857.CI.JRC2.BHT.sac.d.T006_T030
","SYN/JRC2.CI.BHT.semd.sac.m16.T006_T030
",55.854,120.754
"DATA/10006857.CI.LCG.BHR.sac.d.T006_T030
","SYN/LCG.CI.BHR.semd.sac.m16.T006_T030
",-0.096,70.054
"DATA/10006857.CI.LCP.BHR.sac.d.T006_T030
","SYN/LCP.CI.BHR.semd.sac.m16.T006_T030
",-18.296,42.704
"DATA/10006857.CI.LCP.BHT.sac.d.T006_T030
","SYN/LCP.CI.BHT.semd.sac.m16.T006_T030
",-26.846,50.204
"DATA/10006857.CI.LCP.BHT.sac.d.T006_T030
","SYN/LCP.CI.BHT.semd.sac.m16.T006_T030
",-10.796,50.204
"DATA/10006857.CI.LFP.BHT.sac.d.T006_T030
","SYN/LFP.CI.BHT.semd.sac.m16.T006_T030
",-3.496,60.954
"DATA/10006857.CI.LGU.BHR.sac.d.T006_T030
","SYN/LGU.CI.BHR.semd.sac.m16.T006_T030
",-23.396,54.954
"DATA/10006857.CI.LGU.BHR.sac.d.T006_T030
","SYN/LGU.CI.BHR.semd.sac.m16.T006_T030
",-8.746,54.954
"DATA/10006857.CI.LJR.BHZ.sac.d.T006_T030
","SYN/LJR.CI.BHZ.semd.sac.m16.T006_T030
",-13.696,61.654
"DATA/10006857.CI.LJR.BHZ.sac.d.T006_T030
","SYN/LJR.CI.BHZ.semd.sac.m16.T006_T030
",1.504,61.654
"DATA/10006857.CI.LMR2.BHT.sac.d.T006_T030
","SYN/LMR2.CI.BHT.semd.sac.m16.T006_T030
",31.454,94.454
"DATA/10006857.CI.LTP.BHT.sac.d.T006_T030
","SYN/LTP.CI.BHT.semd.sac.m16.T006_T030
",5.304,65.604
"DATA/10006857.CI.LTP.BHT.sac.d.T006_T030
","SYN/LTP.CI.BHT.semd.sac.m16.T006_T030
",20.304,84.804
"DATA/10006857.AZ.LVA2.BHT.sac.d.T006_T030
","SYN/LVA2.AZ.BHT.semd.sac.m16.T006_T030
",57.354,144.754
"DATA/10006857.AZ.LVA2.BHT.sac.d.T006_T030
","SYN/LVA2.AZ.BHT.semd.sac.m16.T006_T030
",63.204,144.754
"DATA/10006857.AZ.LVA2.BHT.sac.d.T006_T030
","SYN/LVA2.AZ.BHT.semd.sac.m16.T006_T030
",75.204,144.754
"DATA/10006857.AZ.LVA2.BHT.sac.d.T006_T030
","SYN/LVA2.AZ.BHT.semd.sac.m16.T006_T030
",84.604,144.754
"DATA/10006857.CI.MPI.BHR.sac.d.T006_T030
","SYN/MPI.CI.BHR.semd.sac.m16.T006_T030
",-23.946,47.354
"DATA/10006857.CI.MPI.BHZ.sac.d.T006_T030
","SYN/MPI.CI.BHZ.semd.sac.m16.T006_T030
",-17.196,61.804
"DATA/10006857.CI.MPI.BHZ.sac.d.T006_T030
","SYN/MPI.CI.BHZ.semd.sac.m16.T006_T030
",-2.546,61.804
"DATA/10006857.CI.MPP.BHR.sac.d.T006_T030
","SYN/MPP.CI.BHR.semd.sac.m16.T006_T030
",-15.946,47.254
"DATA/10006857.CI.MPP.BHZ.sac.d.T006_T030
","SYN/MPP.CI.BHZ.semd.sac.m16.T006_T030
",-22.146,56.954
"DATA/10006857.CI.MPP.BHZ.sac.d.T006_T030
","SYN/MPP.CI.BHZ.semd.sac.m16.T006_T030
",-7.046,56.954
"DATA/10006857.CI.MWC.BHT.sac.d.T006_T030
","SYN/MWC.CI.BHT.semd.sac.m16.T006_T030
",4.954,74.054
"DATA/10006857.CI.NSS2.BHT.sac.d.T006_T030
","SYN/NSS2.CI.BHT.semd.sac.m16.T006_T030
",87.304,147.554
