"DATA/14138080.CI.LAF.BHT.sac.d.T002_T030
","SYN/LAF.CI.BHT.semd.sac.m16.T002_T030
",0,1
"DATA/14116972.CI.MSJ.BHT.sac.d.T002_T030
","SYN/MSJ.CI.BHT.semd.sac.m16.T002_T030
",0,1
"DATA/14096736.CI.SVD.BHZ.sac.d.T006_T030
","SYN/SVD.CI.BHZ.semd.sac.m16.T006_T030
",1,0
"DATA/14095628.CI.TFT.BHZ.sac.d.T006_T030
","SYN/TFT.CI.BHZ.semd.sac.m16.T006_T030
",1,0
"DATA/9944301.CI.FMP.BHZ.sac.d.T006_T030
","SYN/FMP.CI.BHZ.semd.sac.m16.T006_T030
",0,1
"DATA/9703873.CI.RIO.BHT.sac.d.T003_T030
","SYN/RIO.CI.BHT.semd.sac.m16.T003_T030
",1,1
"DATA/9775765.CI.RVR.BHR.sac.d.T006_T030
","SYN/RVR.CI.BHR.semd.sac.m16.T006_T030
",1,0
"DATA/13935988.CI.LDF.BHT.sac.d.T003_T030
","SYN/LDF.CI.BHT.semd.sac.m16.T003_T030
",1,0
"DATA/9742277.CI.PAS.BHT.sac.d.T002_T030
","SYN/PAS.CI.BHT.semd.sac.m16.T002_T030
",1,0
"DATA/9703873.CI.RVR.BHR.sac.d.T003_T030
","SYN/RVR.CI.BHR.semd.sac.m16.T003_T030
",3,0
"DATA/9695397.CI.BFS.BHT.sac.d.T006_T030
","SYN/BFS.CI.BHT.semd.sac.m16.T006_T030
",1,0
"DATA/3321590.CI.DJJ.BHT.sac.d.T002_T030
","SYN/DJJ.CI.BHT.semd.sac.m16.T002_T030
",1,0
"DATA/9688709.CI.RRX.BHT.sac.d.T003_T030
","SYN/RRX.CI.BHT.semd.sac.m16.T003_T030
",1,0
"DATA/14155260.CI.WTT.BHZ.sac.d.T003_T030
","SYN/WTT.CI.BHZ.semd.sac.m16.T003_T030
",3,0
"DATA/14178184.CI.SRN.BHZ.sac.d.T006_T030
","SYN/SRN.CI.BHZ.semd.sac.m16.T006_T030
",2,0
"DATA/9753497.CI.LGB.BHZ.sac.d.T003_T030
","SYN/LGB.CI.BHZ.semd.sac.m16.T003_T030
",1,0
"DATA/9753485.CI.MPM.BHR.sac.d.T002_T030
","SYN/MPM.CI.BHR.semd.sac.m16.T002_T030
",2,0
"DATA/14116972.CI.MGE.BHT.sac.d.T006_T030
","SYN/MGE.CI.BHT.semd.sac.m16.T006_T030
",1,0
"DATA/14077668.CI.WTT.BHZ.sac.d.T006_T030
","SYN/WTT.CI.BHZ.semd.sac.m16.T006_T030
",1,0
"DATA/14096196.CI.BTP.BHT.sac.d.T003_T030
","SYN/BTP.CI.BHT.semd.sac.m16.T003_T030
",1,0
"DATA/9753489.CI.BTP.BHR.sac.d.T006_T030
","SYN/BTP.CI.BHR.semd.sac.m16.T006_T030
",1,0
"DATA/14073800.CI.ISA.BHT.sac.d.T003_T030
","SYN/ISA.CI.BHT.semd.sac.m16.T003_T030
",1,0
"DATA/9128775.CI.PDU.BHR.sac.d.T006_T030
","SYN/PDU.CI.BHR.semd.sac.m16.T006_T030
",1,0
"DATA/14151344.CI.PLM.BHT.sac.d.T002_T030
","SYN/PLM.CI.BHT.semd.sac.m16.T002_T030
",1,0
"DATA/9828889.CI.SPG.BHZ.sac.d.T006_T030
","SYN/SPG.CI.BHZ.semd.sac.m16.T006_T030
",1,0
"DATA/9695397.CI.CAP.BHZ.sac.d.T006_T030
","SYN/CAP.CI.BHZ.semd.sac.m16.T006_T030
",2,0
"DATA/14236768.CI.RIN.BHZ.sac.d.T003_T030
","SYN/RIN.CI.BHZ.semd.sac.m16.T003_T030
",2,0
"DATA/9753949.CI.SBPX.BHZ.sac.d.T006_T030
","SYN/SBPX.CI.BHZ.semd.sac.m16.T006_T030
",1,0
"DATA/9994573.CI.CLC.BHR.sac.d.T006_T030
","SYN/CLC.CI.BHR.semd.sac.m16.T006_T030
",1,0
"DATA/14116972.CI.AGA.BHZ.sac.d.T006_T030
","SYN/AGA.CI.BHZ.semd.sac.m16.T006_T030
",1,0
"DATA/9718013.CI.SDR.BHR.sac.d.T003_T030
","SYN/SDR.CI.BHR.semd.sac.m16.T003_T030
",2,0
"DATA/3320736.CI.JCS.BHR.sac.d.T006_T030
","SYN/JCS.CI.BHR.semd.sac.m16.T006_T030
",2,0
"DATA/14138080.TA.V04C.BHZ.sac.d.T006_T030
","SYN/V04C.TA.BHZ.semd.sac.m16.T006_T030
",2,0
