"DATA/10006857.CI.CCC.BHT.sac.d.T006_T030
","SYN/CCC.CI.BHT.semd.sac.m16.T006_T030
",82.504,97.554
"DATA/10006857.CI.CCC.BHT.sac.d.T006_T030
","SYN/CCC.CI.BHT.semd.sac.m16.T006_T030
",82.504,102.154
"DATA/10006857.CI.CCC.BHT.sac.d.T006_T030
","SYN/CCC.CI.BHT.semd.sac.m16.T006_T030
",82.504,119.504
"DATA/10006857.AZ.CRY.BHT.sac.d.T006_T030
","SYN/CRY.AZ.BHT.semd.sac.m16.T006_T030
",61.604,104.054
"DATA/10006857.AZ.CRY.BHT.sac.d.T006_T030
","SYN/CRY.AZ.BHT.semd.sac.m16.T006_T030
",61.604,110.854
"DATA/10006857.AZ.CRY.BHT.sac.d.T006_T030
","SYN/CRY.AZ.BHT.semd.sac.m16.T006_T030
",61.604,134.154
"DATA/10006857.AZ.CRY.BHT.sac.d.T006_T030
","SYN/CRY.AZ.BHT.semd.sac.m16.T006_T030
",68.904,104.054
"DATA/10006857.AZ.CRY.BHT.sac.d.T006_T030
","SYN/CRY.AZ.BHT.semd.sac.m16.T006_T030
",68.904,110.854
"DATA/10006857.AZ.CRY.BHT.sac.d.T006_T030
","SYN/CRY.AZ.BHT.semd.sac.m16.T006_T030
",68.904,134.154
"DATA/10006857.AZ.CRY.BHT.sac.d.T006_T030
","SYN/CRY.AZ.BHT.semd.sac.m16.T006_T030
",80.204,104.054
"DATA/10006857.AZ.CRY.BHT.sac.d.T006_T030
","SYN/CRY.AZ.BHT.semd.sac.m16.T006_T030
",80.204,110.854
"DATA/10006857.AZ.CRY.BHT.sac.d.T006_T030
","SYN/CRY.AZ.BHT.semd.sac.m16.T006_T030
",80.204,134.154
"DATA/10006857.CI.CTC.BHT.sac.d.T006_T030
","SYN/CTC.CI.BHT.semd.sac.m16.T006_T030
",85.554,118.704
"DATA/10006857.CI.CTC.BHT.sac.d.T006_T030
","SYN/CTC.CI.BHT.semd.sac.m16.T006_T030
",85.554,129.554
"DATA/10006857.CI.CTC.BHT.sac.d.T006_T030
","SYN/CTC.CI.BHT.semd.sac.m16.T006_T030
",85.554,141.554
"DATA/10006857.CI.CTC.BHT.sac.d.T006_T030
","SYN/CTC.CI.BHT.semd.sac.m16.T006_T030
",98.754,118.704
"DATA/10006857.CI.CTC.BHT.sac.d.T006_T030
","SYN/CTC.CI.BHT.semd.sac.m16.T006_T030
",98.754,129.554
"DATA/10006857.CI.CTC.BHT.sac.d.T006_T030
","SYN/CTC.CI.BHT.semd.sac.m16.T006_T030
",98.754,141.554
"DATA/10006857.CI.CTC.BHT.sac.d.T006_T030
","SYN/CTC.CI.BHT.semd.sac.m16.T006_T030
",108.504,129.554
"DATA/10006857.CI.CTC.BHT.sac.d.T006_T030
","SYN/CTC.CI.BHT.semd.sac.m16.T006_T030
",108.504,141.554
"DATA/10006857.CI.CWC.BHT.sac.d.T006_T030
","SYN/CWC.CI.BHT.semd.sac.m16.T006_T030
",61.354,103.904
"DATA/10006857.CI.CWC.BHT.sac.d.T006_T030
","SYN/CWC.CI.BHT.semd.sac.m16.T006_T030
",74.554,103.904
"DATA/10006857.CI.CWC.BHT.sac.d.T006_T030
","SYN/CWC.CI.BHT.semd.sac.m16.T006_T030
",79.754,103.904
"DATA/10006857.CI.DGR.BHT.sac.d.T006_T030
","SYN/DGR.CI.BHT.semd.sac.m16.T006_T030
",58.504,87.004
"DATA/10006857.CI.DGR.BHT.sac.d.T006_T030
","SYN/DGR.CI.BHT.semd.sac.m16.T006_T030
",58.504,96.654
"DATA/10006857.CI.DGR.BHT.sac.d.T006_T030
","SYN/DGR.CI.BHT.semd.sac.m16.T006_T030
",58.504,103.954
"DATA/10006857.CI.DGR.BHT.sac.d.T006_T030
","SYN/DGR.CI.BHT.semd.sac.m16.T006_T030
",58.504,111.204
"DATA/10006857.CI.DGR.BHT.sac.d.T006_T030
","SYN/DGR.CI.BHT.semd.sac.m16.T006_T030
",58.504,127.304
"DATA/10006857.CI.DGR.BHT.sac.d.T006_T030
","SYN/DGR.CI.BHT.semd.sac.m16.T006_T030
",74.354,87.004
"DATA/10006857.CI.DGR.BHT.sac.d.T006_T030
","SYN/DGR.CI.BHT.semd.sac.m16.T006_T030
",74.354,96.654
"DATA/10006857.CI.DGR.BHT.sac.d.T006_T030
","SYN/DGR.CI.BHT.semd.sac.m16.T006_T030
",74.354,103.954
"DATA/10006857.CI.DGR.BHT.sac.d.T006_T030
","SYN/DGR.CI.BHT.semd.sac.m16.T006_T030
",74.354,111.204
"DATA/10006857.CI.DGR.BHT.sac.d.T006_T030
","SYN/DGR.CI.BHT.semd.sac.m16.T006_T030
",74.354,127.304
"DATA/10006857.CI.DNR.BHT.sac.d.T006_T030
","SYN/DNR.CI.BHT.semd.sac.m16.T006_T030
",63.604,97.254
"DATA/10006857.CI.DNR.BHT.sac.d.T006_T030
","SYN/DNR.CI.BHT.semd.sac.m16.T006_T030
",63.604,107.004
"DATA/10006857.CI.DNR.BHT.sac.d.T006_T030
","SYN/DNR.CI.BHT.semd.sac.m16.T006_T030
",63.604,113.504
"DATA/10006857.CI.DNR.BHT.sac.d.T006_T030
","SYN/DNR.CI.BHT.semd.sac.m16.T006_T030
",63.604,120.954
"DATA/10006857.CI.DNR.BHT.sac.d.T006_T030
","SYN/DNR.CI.BHT.semd.sac.m16.T006_T030
",63.604,136.754
"DATA/10006857.CI.DNR.BHT.sac.d.T006_T030
","SYN/DNR.CI.BHT.semd.sac.m16.T006_T030
",71.704,97.254
