14219360,"T006_T030
",28,6
14263712,"T006_T030
",140,18
3321426,"T006_T030
",35,4
9700049,"T006_T030
",9,1
14116920,"T006_T030
",42,2
14096196,"T006_T030
",446,113
10148369,"T006_T030
",37,6
13936812,"T006_T030
",349,10
14116972,"T006_T030
",370,17
9128775,"T006_T030
",99,4
10186185,"T006_T030
",67,3
9130422,"T006_T030
",24,2
9828889,"T006_T030
",209,6
9753497,"T006_T030
",120,2
9875665,"T006_T030
",16,2
14204000,"T006_T030
",34,2
9703873,"T006_T030
",350,22
14178212,"T006_T030
",422,17
9941081,"T006_T030
",337,9
11671240,"T006_T030
",60,7
9742277,"T006_T030
",127,14
13966396,"T006_T030
",286,53
9818433,"T006_T030
",426,20
14178184,"T006_T030
",558,71
9114812,"T006_T030
",375,32
14151344,"T006_T030
",627,40
10215753,"T006_T030
",309,35
13945908,"T006_T030
",330,15
14095540,"T006_T030
",570,69
9113909,"T006_T030
",135,1
9735129,"T006_T030
",55,3
10006857,"T006_T030
",256,33
9775765,"T006_T030
",379,20
14263768,"T006_T030
",80,19
9116921,"T006_T030
",71,4
9140050,"T006_T030
",102,4
9967025,"T006_T030
",37,3
9734033,"T006_T030
",34,1
7177729,"T006_T030
",74,2
9826789,"T006_T030
",177,18
9753485,"T006_T030
",410,6
12887732,"T006_T030
",71,4
9755013,"T006_T030
",143,2
14073800,"T006_T030
",195,9
9686565,"T006_T030
",239,12
14138080,"T006_T030
",655,36
10187953,"T006_T030
",99,3
14179292,"T006_T030
",477,41
9875657,"T006_T030
",14,0
9154092,"T006_T030
",234,33
9122706,"T006_T030
",154,7
9944301,"T006_T030
",147,20
9930549,"T006_T030
",295,7
9141142,"T006_T030
",52,1
9627557,"T006_T030
",25,0
9666905,"T006_T030
",191,14
9716853,"T006_T030
",109,4
10063349,"T006_T030
",108,15
9655209,"T006_T030
",98,8
13692644,"T006_T030
",47,3
9688709,"T006_T030
",234,16
9169867,"T006_T030
",39,2
10097009,"T006_T030
",379,15
14079184,"T006_T030
",133,10
9829213,"T006_T030
",51,5
9117942,"T006_T030
",68,9
9112735,"T006_T030
",153,11
10207681,"T006_T030
",36,10
9111353,"T006_T030
",163,11
13936432,"T006_T030
",60,5
14187364,"T006_T030
",24,0
9644101,"T006_T030
",74,8
9627721,"T006_T030
",372,23
9994573,"T006_T030
",23,0
12456160,"T006_T030
",32,2
10059745,"T006_T030
",220,5
10992159,"T006_T030
",314,25
14169456,"T006_T030
",393,27
